Smiles,pIC50
Cc1cccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)c1,5.92
O=C(Nc1ccc(-c2ccncc2)c(-c2cocn2)n1)C1CC1,5.86
CCCn1c(=O)c2[nH]c(-c3ccc(C)cc3)cc2n(CCC)c1=O,6.2
Cc1ccc2c(O)c(C(=O)NC3CCC(C)CC3)cnc2n1,6.41
Cc1ccc2c(O)cc(-c3ccccc3F)nc2n1,6.33
CCCn1c(=O)c2c(nc(Cc3ccccc3)n2C)n(Cc2ccco2)c1=O,6.31
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.64
COc1cccc(-n2c(=O)n(C(C)c3ccccc3)c3cnc(NC4CC4)nc32)c1,6.45
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.27
CONc1nc(C#Cc2ccc(F)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.4
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,5.82
COC[C@@H]1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,6.49
O=C(Nc1ccc(-c2ccncc2)c(-c2cocn2)n1)C1CC1,5.86
COc1cccc(/C=N/N=C(\S)Cc2ccccc2)c1O,5.33
OC(c1ccccc1)c1nc(C(F)(F)F)nc2ccccc12,5.19
COCCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccco2)c1=O,6.16
CCCn1c(=O)c2[nH]c(-c3ccc(C(=O)O)cc3)c(O)c2n(CCC)c1=O,6.03
CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,5.5
Cc1ccc(N2C(=O)c3cccc(N)c3C2=O)cc1,5.54
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,5.8
CONc1nc(C#Cc2ccc(C(C)=O)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.57
Cc1ccc2c(O)c(Cc3ccccc3)cnc2n1,5.48
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
S/C(Cc1ccccc1)=N\N=C\c1cnc2ccccc2c1,5.7
COc1cccc(-n2c(=O)n(C(C)c3ccccc3)c3cnc(NC4CC4)nc32)c1,6.45
Cc1ccc2c(O)c(Cc3ccccc3)cnc2n1,5.48
Nc1ncnc2c1nc(Br)n2CCO,6.21
CCOc1cc(-c2ccccc2)nc2c1ccc(=O)n2CC,5.42
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3cc(Br)c(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,5.44
Cc1ccccc1-n1cc2c(n1)c(NC1CCCC1)nc1ccccc12,6.48
CC(=O)Nc1nc2ccccc2c2cn(-c3ccccc3)nc12,5.62
Cc1ccccc1-n1cc2c(n1)c(NC1CCCC1)nc1ccccc12,6.48
CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5ccccc5)no4)c3)[nH]c2n(CCC)c1=O,5.96
Nc1nc(-c2cnn(CCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.46
Nc1ncnc2c1nc(Br)n2CCO,6.21
Cn1c(=O)cc2c3c(c(N)ccc31)C(=O)c1ccccc1-2,6.19
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,5.36
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.27
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,5.9
Nc1ncnc2c1ncn2CCc1ccccc1,5.02
CNC(=O)[C@H]1S[C@@H](n2cnc3c(NCc4ccccc4C)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.88
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(I)c3)nc(Cl)nc21,5.97
CC(C)n1cc2c(C(N)=O)nc(N)nc2n1,5.04
OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCSC4)ncnc32)[C@H](O)[C@@H]1O,5.01
CNC(=O)c1nc(NCc2cccnc2)nc2ccsc12,5.15
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,5.36
S/C(Cc1ccccc1)=N\N=C\c1cnc2ccccc2c1,5.7
CCCn1c(=O)c2[nH]c(-c3ccc(C)cc3)cc2n(CCC)c1=O,6.2
COCCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccco2)c1=O,6.16
COc1ccc(NC(=O)Nc2nc3nn(CCc4c(Br)cc(Br)cc4Br)cc3c3nc(-c4ccco4)nn23)cc1,5.69
CN1CCc2sc3nc(C(=O)Nc4ccc(F)cc4)c(N)cc3c2C1,5.66
Cc1[nH]c2nc(-c3ccccc3)nc(N[C@@H]3CCCCNC3=O)c2c1C,5.68
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,6.29
CCNc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,5.43
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.27
CONc1nc(C#Cc2ccc(C(C)=O)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.57
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
O=C(Nc1nc2ccccc2n2c(=O)c(-c3ccccc3)nn12)c1ccccc1,5.99
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,6.43
CCCn1c(=O)c2nc(-c3cnn(Cc4cccc(Cl)c4F)c3)[nH]c2n(CCC)c1=O,6.06
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.64
Cc1ccc2c(O)ccnc2n1,5.75
S/C(Cc1ccccc1)=N\N=C\c1cnc2ccccc2c1,5.7
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,5.82
Nc1nc(-c2cnn(CCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.46
Cc1cccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)c1,5.92
Cc1nc(NC(=O)c2ccccc2)c2nc(-c3ccccc3)sc2n1,5.71
Nc1nc(-c2cnn(CCc3ccccc3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.23
c1ccc(Nc2nc3c(N4CCCC4)ncnc3s2)cc1,6.46
NC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,6.22
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,6.3
CCNc1nc(C#Cc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,5.35
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
O=C(NCc1ccccc1)c1cnc2ncccc2c1O,5.93
Cc1[nH]c2nc(-c3ccccc3)nc(N[C@@H]3Cc4ccccc4[C@H]3O)c2c1C,5.49
Cc1ccc2c(O)ccnc2n1,5.75
Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccsc4)cc3c12,5.13
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,6.43
