Smiles,pIC50
COc1ccc(NC(=O)Nc2nc3nn(CCc4c(Br)cc(Br)cc4Br)cc3c3nc(-c4ccco4)nn23)cc1,5.69
COc1ccc(NC(=O)Nc2nc3nn(CCc4c(Br)cc(Br)cc4Br)cc3c3nc(-c4ccco4)nn23)cc1,5.69
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3cc(Br)c(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,5.44
COc1ccc(NC(=O)Nc2nc3nn(CCc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1,5.49
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3c(Br)cc(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,5.44
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3c(Br)cc(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,5.44
COc1ccc(NC(=O)Nc2nc3nn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,6.0
COc1ccc(NC(=O)Nc2nc3nn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,6.0
COc1ccc(NC(=O)Nc2nc3nn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,5.99
COc1ccc(NC(=O)Nc2nc3nn(Cc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1,5.49
COc1ccc(NC(=O)Nc2nc3nn(Cc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1,5.49
CCCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.42
CCCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.42
CCCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.42
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18
CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.18
CCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.24
CCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.24
CCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,6.24
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,6.1
O=C(Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1,6.49
O=C(Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1,6.49
COc1ccc(NC(=O)Nc2nc3cn(CCc4ccccc4)nc3c3nc(-c4ccco4)nn23)cc1,6.17
CCCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,6.45
CCCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,6.45
CCCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,6.45
COc1ccc(NC(=O)Nc2nc3nn(CC=C(C)C)cc3c3nc(-c4ccco4)nn23)cc1,5.99
COc1ccc(NC(=O)Nc2nc3nn(CC=C(C)C)cc3c3nc(-c4ccco4)nn23)cc1,5.99
