Smiles,pIC50
COc1cc(/C=N/N=C(\S)Cc2ccccc2)c(O)c(OC)c1,5.38
Nc1cccc(CC2SC(=O)NC2=O)c1,5.15
CCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.05
CCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.46
CCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.6
CCCc1cc(O)c2ccc(C)nc2n1,6.05
CCCc1cc(O)c2ccc(C)nc2n1,6.0
COc1cccc(-c2n[nH]c(-c3ccc(Cl)c(Cl)c3)n2)c1,6.16
CCCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.96
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.15
CCCOc1cc(NC(C)=O)nc(SC)n1,5.95
CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.05
CCC(=O)Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,6.26
CC(C)(O)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,5.96
Oc1c(Br)cc2[nH]c3cnccc3c2c1Br,5.31
Oc1c(Br)cc2[nH]c3cnccc3c2c1Br,5.31
CCN(CC)CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.08
Cc1cc(O)c2ccc(N)nc2n1,5.12
N=C(NCCc1c[nH]c2ccccc12)Nc1ncccn1,5.23
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,5.82
COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,6.07
N#C/C(=N\Nc1ccc(S(N)(=O)=O)cc1)c1nc2ccccc2[nH]1,5.3
CCCOc1cc(NC(=O)CC)nc(SC)n1,6.4
O=C1c2ccccc2C(=O)c2cc(OCC(O)CN3CCCCC3)ccc21,5.3
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,5.88
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,6.13
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,5.48
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.09
Cn1cnc2c(N)ncnc21,5.16
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.1
COc1cccc(-c2n[nH]c(CC3CCCCC3)n2)c1,6.16
Cc1cc(O)c(C(C)C)cc1N=C1CSC(=O)N1,5.75
Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,5.0
Cn1cc2c(Cl)nc(N)nc2n1,5.04
Cc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.08
Cc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.08
Cc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.08
Nc1nc(NCc2ccc(Cl)cc2)nc(-c2ccccc2CO)n1,5.77
Nc1nc(NCc2ccc(Cl)cc2)nc(-c2ccccc2CO)n1,5.17
