Smiles,pIC50
Cc1cccc(O[C@H](C)C(=O)Nc2nc(-c3ccccc3)n[nH]2)c1,6.7
Fc1ccc(CNc2nc(-c3ccccc3)cc(C(F)(F)F)n2)cc1,6.54
Cc1ccc(-c2cc(-c3ccccc3)nc(N)c2C#N)cc1,6.93
N#Cc1c(-c2ccccc2)nc(NC(=O)C2CC2)nc1-c1ccccc1,7.34
COc1ccccc1NC(=O)Nc1nc(-c2ccccc2)n[nH]1,6.7
N#Cc1c(-c2ccc(F)cc2)cc(-c2ccccc2)nc1N,7.06
CCC(CC)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,7.26
Clc1ccc(Cc2n[nH]c(-c3ccc4c(c3)OCO4)n2)cc1Cl,7.0
CCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.09
CCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.07
COc1ccccc1C(=O)Nc1nc(-c2ccccc2)n[nH]1,6.7
Nc1ncc(-c2ccnc(C3CC3)c2)c(-c2ccccc2)n1,7.44
N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccccc2)nc1N,6.7
CC(=O)Nc1ccc(-c2ccncc2)c(-c2cccc(F)c2)n1,6.54
N#Cc1c(-c2ccc(F)cc2)cc(C2CC2)nc1N,6.97
